Pneumomediastinum	HP:0025421
Hair loss on scalp from scarring condition	None
Scarring alopecia of scalp	None
Cicatricial alopecia	None
Shagreen patch	None
Congenital symmetrical palmoplantar keratosis	None
Cold urticaria	None
Desquamation of skin soon after birth	None
Acquired abnormal hair pattern	None
Tendon xanthomas	None
Tendon xanthomatosis	None
Hydroa vacciniforme	None
Acute vesiculation and crusting and scarring following sun exposure	None
Chronic nonhealing cutaneous wound	None
Chronic cutaneous wound	None
Multiple intestinal neurofibromatosis	None
Bilateral single transverse palmar creases	None
Palmoplantar blistering	None
Loss of adipose tissue around the neck	None
Loss of fat around neck	None
Decreased adipose tissue around neck	None
Central cyanosis	None
Hypotrichosis of upper eyelashes	None
Partial absence of upper eyelashes	None
Sparse upper eyelashes	None
Conjunctival telangiectasia	None
Small dilated blood vessels near membrane covering front of eye and eyelids	None
Telangiectasia, conjunctival	None
Conjunctival telangiectases	None
Confetti hypopigmentation pattern of lower leg skin	None
Choroid plexus papilloma	None
Heliotrope rash of eyelid	None
Gustatory sweating	None
Verruciform xanthoma	None
Abnormal epidermal morphology	None
Abnormality of epidermal morphology	None
Scant eyelashes	None
Partial absence of eyelashes	None
Sparse eyelashes	None
Thin eyelashes	None
Scanty eyelashes	None
Hypotrichosis of eyelashes	None
Excessive wrinkling of palmar skin	None
Redundant, wrinkled skin of palms	None
Chronic candidiasis of mucosa, skin and nails	None
Chronic mucocutaneous candidiasis	None
Mucocutaneous candidiasis	None
Abnormal epidermis stratum granulosum morphology	None
Harlequin phenomenon	None
Herpetiform vesicles	None
Gingival hyperkeratosis	None
Hyperkeratosis, gingival	None
Abnormality of fatty tissue below the skin	None
Abnormality of subcutaneous fat tissue	None
Ipsilateral lack of facial sweating	None
Ridged nails	None
Ridged nail	None
Grooved nails	None
Nail ridging	None
Longitudinal ridging	None
Fingerpad telangiectases	None
Finger pad telangiectases	None
Small dilated blood vessels in fingerpads	None
Longitudinal erythronychia	None
Hyperpigmented nevi	None
Piebald skin depigmentation	None
Piebaldism	None
Multiple lentigines	None
Liver spots	None
Skin laceration	None
Yellow nails	None
Atrophodermia vermiculata	None
Vermiculata atrophoderma	None
Skin-colored papule	None
Flesh-colored papule	None
Slow-growing scalp hair	None
Generalized hypotrichosis	None
Generalised hypotrichosis	None
Hypotrichosis, generalized	None
Hypotrichosis, generalised	None
Urate tophus	None
Urate tophi	None
Neonatal wrinkled skin of hands and feet	None
Wrinkled skin of hands and feet in newborn	None
Erysipelas	None
St. Anthony's Fire	None
Congenital dermal melanocytosis	None
Blue nevus	None
Poorly formed palmar creases	None
Shallow palm line	None
Hypoplastic palmar creases	None
Shallow palmar creases	None
Decreased palmar creases	None
Periorbital hyperpigmentation	None
Dark circles under the eyes	None
Periorbital melanosis	None
Darkening around the eyes	None
Pigmentation around the eyes	None
Infraorbital pigmentation	None
Dark circles around the eyes	None
Idiopathic cutaneous hyperchromia at the orbital region	None
Palmar warts	None
Early balding	None
Skin vesicle	None
Pruritis on breast	None
Papilloma	None
Severe photosensitivity	None
Severe sun sensitivity	None
Predominantly dermal neutrophilic infiltrate	None
Abnormal hair pattern since birth	None
Congenital abnormal hair pattern	None
Cobblestone-like hyperkeratosis	None
Hypopigmentation	None
Patchy lightened skin	None
Hypopigmentation of the skin	None
Hypopigmented skin	None
Skin hypopigmentation	None
Kerion	None
Sebaceous adenoma	None
Sebaceous adenomas	None
Facial angiofibromas	None
Adenoma sebaceum	None
Auspitz sign	None
Abnormality of hairline at front of head	None
Abnormality of the frontal hairline	None
Eczema	None
Eczematoid dermatitis	None
Mixed hypo- and hyperpigmentation of the skin	None
Majocchi's granuloma	None
Hypergranulosis	None
Popliteal pterygium	None
Trichodiscoma	None
Tightly curved thumb nail	None
Hyperconvex thumb nails	None
Widened atrophic scar	None
Spinal neurofibromas	None
Spinal neurofibroma	None
Abnormal eyelashes	None
Abnormal eyelash morphology	None
Eyelash abnormality	None
Abnormality of the eyelashes	None
Trichoepithelioma	None
Telogen effluvium	None
Epidermal nevus	None
Epidermal nevi	None
Delayed recoil upon stretching of skin	None
Perioral hyperkeratosis	None
Cylindroma	None
Generalised reticulate brown pigmentation	None
Generalized reticulate brown pigmentation	None
Diffuse palmoplantar hyperkeratosis	None
Hyperkeratosis, diffuse palmoplantar	None
Diffuse palmoplantar keratoderma	None
Intracellular accumulation of collagen VII	None
Connective tissue nevi	None
Postnatal-onset ichthyosis	None
Postnatal-onset ichthyosiform erythroderma	None
Elbow hypertrichosis	None
Hairy elbow	None
Hypertrichosis cubiti	None
Hairy elbow syndrome	None
Pilosity of elbow	None
Excessive wrinkled skin	None
Chromhidrosis	None
Abnormal skin pigmentation	None
Abnormality of skin pigmentation	None
Pigmentary changes	None
Pigmentary skin changes	None
Abnormal skin color	None
Pigmentation anomaly	None
Abnormal pigmentation	None
Abnormality of pigmentation	None
Abnormal skin colour	None
Increased wrinkles of palms and soles	None
Excessive wrinkled skin of palms and soles	None
Furrowed palms and soles	None
Palmoplantar cutis laxa	None
Wrinkled skin of hands and feet	None
Wrinkled palms and soles	None
Low posterior hair line	None
Low hairline at back of neck	None
Low posterior hairline	None
Abnormal subcutaneous fat tissue distribution	None
Abnormal fat tissue distribution below the skin	None
Underdeveloped major sweat glands	None
Hypoplasia of the eccrine sweat glands	None
Hyperhidrosis, episodic	None
Sporadic excessive sweating	None
Episodic hyperhidrosis	None
Kaposi's sarcoma	None
Tufted hairs	None
Reduced epidermal collagen IV alpha 5 chain staining	None
Prematurely aged appearance	None
Precociously senile appearance	None
Flaky paint skin appearance	None
Flaky paint dermatosis	None
Collagenoma	None
Subcutaneous lipoma	None
Recurrent skin infections	None
Cutaneous infections	None
Skin infections, recurrent	None
Progressive vitiligo	None
Onychogryphosis of toenails	None
Overgrowth and curving of toenails	None
Lower lip pit	None
Hyperelastic chest skin	None
Hyperextensible skin of chest	None
Stretchable chest skin	None
Abnormal periungual morphology	None
Abnormality of the periungual region	None
Absent nail of big toe	None
Absent nail of hallux	None
Absent big toe nail	None
Increased vertical height of eyebrow	None
Increased vertical width of eyebrow	None
Broad eyebrow	None
Flared eyebrows	None
Broad eyebrows	None
Increased vertical thickness of eyebrow	None
Flared eyebrow	None
Plantar telangiectasia	None
Teleangiectases of soles	None
Telangiectases of soles	None
Plantar teleangiectasia	None
Underdeveloped fifth toenail	None
Hypoplastic fifth toenail	None
Small fifth toenail	None
Ecchymoses	None
Ecchymosis	None
Abnormality of pace of hair growth	None
Abnormality of hair growth rate	None
Abnormality of speed of hair growth	None
Abnormal hair whorls	None
Abnormal hair whorl	None
Abnormal whorl of hair	None
Serpiginous burrow	None
Dermal immune complex deposition	None
Hordeolum externum	None
Accumulation of melanosomes in melanocytes	None
Onychodysplasia	None
Nail dysplasia	None
Atypical nail growth	None
Dysplastic nails	None
Digital ulcer	None
Easily breakable hair	None
Brittle hair	None
Reduced tensile strength of hair	None
Fractured hair	None
Fragile hair	None
Absent lanugo	None
Atrichia	None
Abnormal cutaneous elastic fibre morphology	None
Abnormal cutaneous elastic fiber morphology	None
Prominent digit pad	None
Myxoid subcutaneous tumors	None
Myxoid subcutaneous tumours	None
Atheroeruptive xanthoma	None
Facial wrinkling	None
Cowlick	None
Upswept frontal hair	None
Frontal Cowlick	None
Upswept frontal hairline	None
Upswept frontal hair pattern	None
Frontal upsweep of hair	None
Atrophic, patchy alopecia	None
Squamous cell cancer	None
Squamous cell carcinoma	None
Angioma serpentinum	None
Reduced epidermal ECM1 protein expression	None
Reduced epidermal extracellular matrix protein 1 protein expression	None
High, rounded eyebrows	None
High-arched eyebrows	None
Broad, arched eyebrows	None
Thick, flared eyebrows	None
High arched eyebrows	None
Bowed and upward slanting eyebrows	None
Highly arched eyebrow	None
Arched eyebrows	None
GI telangiectasia	None
Small, enlarged blood vessels near skin	None
Gastrointestinal telangiectasia	None
Reduced reticular lamina anchoring fibril density	None
Perifolliculitis	None
Perifollicular inflammation	None
Holster sign	None
Reduced epidermal keratin 5 protein expression	None
Chilblain-like lesion	None
Pseudo-chilblain	None
Stye of inner eyelid	None
Hordeolum internum	None
Red bump on inner eyelid	None
Telangiectasia of the ear	None
Hypoplastic dermoepidermal hemidesmosomes	None
Indurated nodule	None
Periungual teleangiectasia	None
Brittle scalp hair	None
Multiple plantar creases	None
Chilblains	None
Chilblain lesions	None
Nevus flammeus of the forehead	None
Port-wine stain on forehead	None
High axial triradius	None
Oropharyngeal squamous cell carcinoma	None
Red in the face	None
Rosacea	None
Blushing	None
Facial erythema	None
Ruddy face	None
Red face	None
Blushed cheeks	None
Plantar warts	None
Interstitial dermal edema	None
Renal neurofibroma	None
Skin rash	None
Rash	None
Short lower eyelashes	None
Decreased length of lower eyelashes	None
Numerous pigmented freckles	None
Dermatoglyphic ridges abnormal	None
Abnormality of lower eyelashes	None
Underdeveloped fifth fingernail	None
Underdeveloped fingernail of little finger	None
Hypoplastic fifth fingernail	None
Underdeveloped fingernail of pinkie finger	None
Underdeveloped fingernail of pinky finger	None
Koebner Phenomenon	None
White scaling skin	None
White scaly skin	None
Single trichilemmoma	None
Macular hyperpigmented dermopathy	None
Diffuse slow skin atrophy	None
Marked subcutaneous veins	None
Prominent superficial veins	None
Prominent veins	None
Abnormal perifollicular morphology	None
Trichorrhexis nodosa	None
Genital warts	None
Plantar crease between first and second toes	None
Prominent interdigital folds	None
Livedoid dermatitis	None
Livedo	None
Inadequate sweating	None
Hypohidrosis	None
Decreased sweating	None
Decreased ability to sweat	None
Sweating, decreased	None
Oligohidrosis	None
Cyanotic face	None
Facial cyanosis	None
Bluish face	None
Impaired stimulus-induced skin wrinkling	None
Acral lentiginous melanoma	None
Linear arrays of macular hyperkeratoses in flexural areas	None
Palmar neurofibroma	None
Palmar neurofibromas	None
Abnormal rete ridge morphology	None
Comedonal acne	None
Comedogenic acne	None
Narrow nail	None
Extension of eyebrows towards upper eyelid	None
Macrolunula	None
Nails: lunulae enlarged	None
Enlarged lunula	None
Thin nail	None
Thin nails	None
Subcutaneous nodule	None
Nodule below the skin	None
Firm lump under the skin	None
Subcutaneous nodules	None
Growth of abnormal tissue under the skin	None
Multiple, subcutaneous nodules	None
Multiple cutaneous leiomyomas	None
Ectodermal dysplasia	None
Lip pit	None
Nodular melanoma	None
Facial hirsutism	None
Excessive face hair	None
Abnormal dermoepidermal hemidesmosome morphology	None
Patchy hypopigmentation	None
Spotty hypopigmentation	None
Spotty decreased pigmentation	None
Patchy depigmentation	None
Abnormal number of hair whorls	None
Extra hair swirls	None
Supernumary hair swirls	None
Abnormal number of hair swirls	None
Double crown (hair whorls)	None
Extra hair whorl	None
Supernumary hair whorl	None
Tubular fingernails	None
Hyperconvex fingernails	None
Eruptive vellus hair cyst	None
Decreased sweating due to autonomic dysfunction	None
Upturned toenail	None
Ski-jump toenail	None
Upslanting toenail	None
Adermatoglyphia	None
Reduced epidermal kindlin-1 expression	None
Commissural lip pit	None
Commissural pit	None
Commissural labial pits	None
Lip pits at corners of the mouth	None
Pits at the corners of the lips	None
Optic nerve sheath meningioma	None
Ovarian neoplasia	None
Ovarian neoplasm	None
Ovarian tumor	None
Ovarian cancer	None
Neoplasm of the ovaries	None
Neoplasm of the ovary	None
Ovarian tumour	None
Tumour of the peripheral nervous system	None
Tumor of the peripheral nervous system	None
Neoplasm of the peripheral nervous system	None
Ependymoblastoma	None
Squamous papilloma of the uvula	None
Oropharyngeal squamous papilloma	None
Multiple long-bone exostoses	None
Multiple exostoses of long tubular bones	None
Vascular hamartoma	None
Glioblastoma	None
Glioblastoma multiforme	None
Pancreatic endocrine tumor	None
Pancreatic endocrine tumour	None
Colon cancer	None
Neoplasm of the larynx	None
Ependymoma	None
Pilomatrixoma	None
Secretory adrenocortical adenoma	None
Secretory adrenal adenoma	None
Hemangioblastoma, sporadic cerebellar	None
Cerebellar hemangioblastoma	None
Capillary hemangioma	None
Capillary hemangiomata	None
Strawberry birthmark	None
Digestive system neoplasm	None
Cementoma	None
Carotid body tumors	None
Paragangliomas	None
Paraganglioma	None
Carotid body tumours	None
Noncancerous tumor in pituitary gland	None
Noncancerous tumour in pituitary gland	None
Pituitary adenoma	None
Pituitary gland adenoma	None
Clear cell adenocarcinoma of the vagina	None
