Abnormality of the breast	HP:0000769
Anthracosis	None
Expiratory crackles	None
Bilateral pulmonary agenesis	None
Absent lungs	None
Bilateral lung agenesis	None
Abnormal connection between trachea and esophagus	None
Abnormal connection between trachea and oesophagus	None
Tracheoesophageal fistula	None
Neoplasia of the pleura	None
Ventilator dependence with inability to wean	None
Accessory cardiac bronchus	None
Pulmonary pseudocavity	None
Decreased FEF25-75%	None
Decreased forced expiratory flow 25-75%	None
Decreased breath sounds	None
Diminished breath sounds	None
Respiratory distress requiring mechanical ventilation	None
Respiratory distress requiring endotracheal intubation	None
Respiratory distress necessitating mechanical ventilation	None
Respiratory failure requiring assisted ventilation	None
Abnormal nasopharynx morphology	None
Abnormality of the nasopharynx	None
Abnormal bronchus physiology	None
Absent bronchoalveolar surfactant-protein C	None
Bronchiolectasia	None
Bronchiolectasis	None
Respiratory system tumour	None
Respiratory system tumor	None
Neoplasm of the respiratory system	None
Absent lung vessels	None
Agenesis of pulmonary vessels	None
Bronchial hemorrhage	None
Bronchial bleeding	None
Bloody bronchoalveolar lavage fluid	None
Bronchogenic cyst	None
Hypertrophy of frontal sinus	None
Large frontal sinus	None
Prominent frontal sinuses	None
Hyperplasia of frontal sinus	None
Increased volume of frontal sinus	None
Increased size of frontal sinus	None
Bronchiolitis	None
Scleroderma of lung	None
Bilateral basilar pulmonary fibrosis	None
Scleroderma lung disease	None
Lung disease with systemic sclerosis	None
Traction bronchiectasis	None
Type 2 congenital pulmonary airway malformation	None
Hypopnea	None
Shallow breathing	None
Mass on thoracic imaging	None
Abnormal pulmonary artery morphology	None
Obstructive deficit on pulmonary function testing	None
Reduced FEV1/FVC ratio	None
Obstructive deficit on pulmonary function test	None
Pulmonary lymphangiectasis	None
Pulmonary lymphangiectasia	None
Subpleural honeycombing	None
Pulmonary sequestration	None
Cystic lung lesion	None
Bronchopulmonary sequestration	None
Nasal flaring	None
Decreased pre bronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator FEF25-75%	None
Decreased prebronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator forced expiratory flow 25-75%	None
Decreased attenuation pattern on pulmonary HRCT	None
Black lung pattern on pulmonary HRCT	None
Abnormality of the upper respiratory tract	None
Upper respiratory tract issues	None
Type 3 congenital pulmonary airway malformation	None
Recurrent pharyngitis	None
Recurrent sore throat	None
Pharyngitis, recurrent	None
Increased pulmonary capillary wedge pressure	None
Increased pulmonary artery occlusion pressure	None
Increased pulmonary arterial wedge pressure	None
Increased airway neuroepithelial bodies	None
Pulmonary situs inversus	None
GGO	None
Ground-glass opacification on pulmonary HRCT	None
Ground glass opacities	None
Ground-glass opacification	None
Abnormality of respiratory circulation	None
Abnormal pulmonary circulation	None
Abnormality of pulmonary circulation	None
Abnormal respiratory system morphology	None
Abnormal O2 blood concentration	None
Abnormal blood O2 level	None
Abnormal blood oxygen levels	None
Abnormal blood oxygen level	None
Pulmonary interstitial lymphocyte infiltration	None
Breath-holding spell	None
Pulmonary situs ambiguus with bilateral morphologic right lungs	None
Bronchomalacia	None
Supernumerary pulmonary fissure	None
increased pulmonary fissure count	None
Lung tumour	None
Neoplasm of the lung	None
Lung cancer	None
Lung tumor	None
Mosaic attenuation pattern on pulmonary HRCT	None
Abnormal epiglottis morphology	None
Abnormality of the epiglottis	None
Elevated pulmonary artery pressure	None
Elevated lung artery pressure	None
increased pulmonary artery pressure	None
Airway hyperresponsiveness	None
Increased airway neuroendocrine cells	None
Squawks	None
Pure ground-glass pulmonary nodule	None
Pulmonary oligemia	None
Apical pulmonary opacity	None
Apical cap	None
Apical pleural thickening	None
Bronchiectasis	None
Permanent enlargement of the airways of the lungs	None
Lung abscess	None
Pulmonary Langerhans cell histiocytosis	None
bone larynx	None
Fractured larynx	None
Absent pulmonary artery	None
Absent lung artery	None
Missing pulmonary artery	None
Episodic hypoventilation	None
Episodic slow breathing	None
Episodic under breathing	None
Pulmonary artery intimal thickening	None
Central hypoventilation	None
Abnormal nasal mucus secretion	None
Pulmonary interstitiatial HRCT abnormality	None
Pulmonary interstitial high-resolution computed tomography abnormality	None
Laryngeal mass	None
Oxygen desaturation on exertion	None
O2 desaturation on exertion	None
Aspiration pneumonia	None
Tracheal duplication cyst	None
Tracheomegaly	None
Cigarette-paper scars	None
Cigarette paper scarring	None
Polymorphic vesicular eruption	None
Corn	None
Clavus	None
Focal intractable plantar hyperkeratosis	None
Heloma	None
Abnormal perifollicular morphology	None
Cafe-au-lait macule	None
Birthmark	None
Flat light-brown mark on skin	None
Cafe-au-lait spots	None
Cafe au lait spots	None
Cafe-au-lait spot	None
Cafe-au-lait macules	None
Thick eyebrow	None
Heavy eyebrows	None
Hypertrichosis of the eyebrow	None
Dense eyebrow	None
Prominent eyebrows	None
Bushy eyebrows	None
Hypertrichosis of the eyebrows	None
Thick eyebrows	None
Fragmented elastic fibers in the dermis	None
Fragmented elastic fibres in the dermis	None
Telangiectasia macularis eruptiva perstans	None
Splinter hemorrhages	None
Persistence of fingerpads	None
Persistent foetal fingertip pads	None
Persistent fetal fingertip pads	None
Prominent fingertip pads	None
Prominent finger pads	None
Nevus flammeus of the forehead	None
Port-wine stain on forehead	None
COVID fingers	None
COVID finger	None
Pseudo-chilblains on fingers	None
Fibrofolliculomas	None
Fibrofolliculoma	None
Abnormality of dermal melanosomes	None
Abnormality of the scalp hair	None
Long eyelashes	None
Ciliary trichomegaly	None
Eyelash trichomegaly	None
Unusually long eyelashes	None
Increased length of eyelashes	None
Cutaneous osteosis	None
Osteomatosis	None
Miliary osteoma	None
Osteoma cutis	None
Predominantly dermal neutrophilic infiltrate	None
Dorsal hirsutism	None
Multiple cutaneous leiomyomas	None
Tubular fingernails	None
Hyperconvex fingernails	None
Linear Hyperpigmentation along Blaschko's lines	None
Short upper eyelashes	None
Decreased length of upper eyelashes	None
Prominent superficial blood vessels	None
Prominent superficial vasculature	None
Nevus comedonicus	None
Abnormal dermis morphology	None
Abnormality of skin physiology	None
Blistering by anatomical location	None
Skin laceration	None
Extension of eyebrows towards upper eyelid	None
Abnormal nail attachment	None
Absent inner eyelashes	None
Dilatation of the superficial abdominal veins	None
Dilated superficial abdominal veins	None
Poorly formed palmar creases	None
Shallow palm line	None
Hypoplastic palmar creases	None
Shallow palmar creases	None
Decreased palmar creases	None
Gastric neurofibroma	None
Discrete 2 to 5-mm hyper- and hypopigmented macules	None
Decreased sweating due to autonomic dysfunction	None
V-sign	None
High, rounded eyebrows	None
High-arched eyebrows	None
Broad, arched eyebrows	None
Thick, flared eyebrows	None
High arched eyebrows	None
Bowed and upward slanting eyebrows	None
Highly arched eyebrow	None
Arched eyebrows	None
Streaks of hyperkeratosis along each finger onto the palm	None
Skin detachment	None
Epidermal detachment	None
Skin sloughing	None
Detached skin	None
Hypoplastic dermoepidermal hemidesmosomes	None
Increased wrinkles of palms and soles	None
Excessive wrinkled skin of palms and soles	None
Furrowed palms and soles	None
Palmoplantar cutis laxa	None
Wrinkled skin of hands and feet	None
Wrinkled palms and soles	None
Pili canaliculi	None
Gottron sign	None
Hypotrichosis of upper eyelashes	None
Partial absence of upper eyelashes	None
Sparse upper eyelashes	None
Palmar hyperlinearity	None
Penetrating foot ulcers	None
Macular hyperpigmented dermopathy	None
Pruritis on hand	None
Reticulate hyperpigmentation of the flexures	None
Flexural reticulate hyperpigmentation	None
Reticular pigmented anomaly of the flexures	None
High posterior hairline	None
High hairline at back of head	None
Generalised reticulate brown pigmentation	None
Generalized reticulate brown pigmentation	None
Erythema	None
Redness of skin or mucous membrane	None
Increased number of skin folds	None
Sparse anterior scalp hair	None
Thin scalp hair at front of head	None
Sparse scalp hair at front of head	None
Reduced epidermal ECM1 protein expression	None
Reduced epidermal extracellular matrix protein 1 protein expression	None
Hypohidrotic ectodermal dysplasia	None
Lip pit	None
Linear IgA deposits along the epidermal basement membrane zone	None
Chromhidrosis	None
Bilateral single transverse palmar creases	None
Partial absent skin pigmentation	None
Congenital partial leucoderma	None
Congenital partial albinism on face, trunk, or limbs	None
Partial albinism	None
Abnormality of lower eyelashes	None
Clumping of the keratin tonofilaments	None
Tonofilament clumping	None
Lumbar hypertrichosis	None
Triangular shaped nail	None
Triangular nail	None
Uncombable hair	None
Hyperkeratosis, palmoplantar, focal friction-related	None
Focal friction-related palmoplantar hyperkeratosis	None
Abnormal terminal:vellus ratio	None
Facial flushing after alcohol intake	None
Hyperpigmented nevi	None
Abnormal eyebrow morphology	None
Abnormality of the eyebrow	None
Skin writing	None
Dermatographism	None
Dermographism	None
Dermatographic urticaria	None
Increased vertical height of eyebrow	None
Increased vertical width of eyebrow	None
Broad eyebrow	None
Flared eyebrows	None
Broad eyebrows	None
Increased vertical thickness of eyebrow	None
Flared eyebrow	None
Accumulation of melanosomes in melanocytes	None
Telangiectases producing 'marbled' skin	None
Hyperpigmented nevi and streak	None
Oropharyngeal squamous cell carcinoma	None
Onychomadesis	None
Low anterior hairline	None
Low frontal hairline	None
Low-set frontal hairline	None
Onychauxis	None
Abnormal cutaneous elastic fibre morphology	None
Abnormal cutaneous elastic fiber morphology	None
Underdeveloped major sweat glands	None
Hypoplasia of the eccrine sweat glands	None
Palmoplantar blistering	None
Choroid plexus papilloma	None
Mechanic's hands	None
Yellow nodule	None
Honeycomb palmoplantar hyperkeratosis	None
Absence of epidermal lamellar bodies	None
Periungual erythema	None
Facial wrinkling	None
Complex palmar dermatoglyphic pattern	None
Coarse hair texture	None
Coarse hair	None
Rough hair texture	None
Missing skin on limbs since birth	None
Congenital absence of skin of limbs	None
Sun allergy	None
Polymorphous light eruption	None
Abnormality of the axillary hair	None
Dermal immune complex deposition	None
GI telangiectasia	None
Small, enlarged blood vessels near skin	None
Gastrointestinal telangiectasia	None
Abnormal number of hair whorls	None
Extra hair swirls	None
Supernumary hair swirls	None
Abnormal number of hair swirls	None
Double crown (hair whorls)	None
Extra hair whorl	None
Supernumary hair whorl	None
Purulent drainage from skin	None
White scaling skin	None
White scaly skin	None
Cyanosis	None
Blue discoloration of the skin	None
Follicular keratosis	None
Lichen pilaris	None
Follicular keratotic plug	None
Carpet tack sign	None
Follicular plugging	None
Keratosis pilaris	None
Hyperkeratosis pilaris	None
Chicken skin	None
Steatocystoma multiplex	None
Squamous Papilloma	None
Cold urticaria	None
Long lower eyelashes	None
Increased length of lower eyelashes	None
Ciliary trichomegaly of lower eyelashes	None
Telangiectasia of the ear	None
Porokeratosis	None
Generalized hypotrichosis	None
Generalised hypotrichosis	None
Hypotrichosis, generalized	None
Hypotrichosis, generalised	None
Positive pathergy test	None
Punctate vasculitis skin lesions	None
Generalized hypertrichosis	None
Generalised hypertrichosis	None
Cracked skin	None
Skin fissure	None
Aplastic/hypoplastic toenails	None
Absent/small toenails	None
Aplastic/hypoplastic toenail	None
Hypoplastic-absent toenails	None
Absent/underdeveloped toenails	None
Onycholysis of fingernails	None
Detachment of fingernails	None
Onycholysis of fingernail	None
Generalized papillary lesions	None
Generalised papillary lesions	None
Disseminated dermatophytosis	None
Inelastic skin	None
Dermatomegaly	None
Lax skin	None
Cutaneous laxity	None
Loose and inelastic skin	None
Elastolysis	None
Generalised elastolysis	None
Skin laxity	None
Cutis laxa	None
Hanging skin	None
Dermatochalasia	None
Hypoelastic skin	None
Chalazoderma	None
Loose skin	None
Generalized elastolysis	None
Eyelid erythema	None
Erythema of eyelid	None
Red eyelid	None
Erythema of the eyelids	None
Spider veins of the tongue	None
Lingual telangiectasia	None
Lingual angioectasias	None
Angioectasias of the tongue	None
Tongue telangiectasia	None
Reduction in the number of scalp follicles	None
Reduced amount of scalp hair	None
Thinning scalp hair	None
Reduced/lack of hair on scalp	None
Hypotrichosis on scalp	None
